Antiguedad,Kilometraje,Marca.1.Índice,Modelo.1.Índice,Version.1.Índice,Precios Lista.Precio de Lista,Precio
12,116000,1,1,3,799900,166999
2,13812,1,2,6,769900,734999
2,13812,1,2,6,769900,732999
11,105500,1,1,3,799900,201999
7,84511,1,3,7,499900,230999
7,91066,1,2,5,769900,326999
10,58307,1,3,8,499900,184999
7,102528,1,2,5,769900,318999
5,41000,1,2,2,769900,395999
6,89173,1,1,4,799900,396999
4,49787,1,2,6,769900,485999
2,13812,1,2,6,769900,728999
11,105356,1,1,3,799900,201999
6,58774,1,1,4,799900,475999
12,117000,1,1,3,799900,166999
5,56724,1,2,2,769900,408999
8,114401,1,1,1,799900,253999
7,91066,1,2,5,769900,325999
7,84511,1,3,7,499900,231999
5,41000,1,2,2,769900,389999
5,110611,1,4,9,1199900,390999
6,33966,1,1,4,799900,471999
7,102528,1,2,5,769900,317999
10,58307,1,3,8,499900,180999
12,117000,1,1,3,799900,165999
10,103114,1,1,3,799900,206999
6,58774,1,1,4,799900,417999
10,103114,1,1,3,799900,207999
6,89173,1,1,4,799900,410999
7,91066,1,2,5,769900,327999
5,50521,1,4,9,1199900,494999
7,72000,1,1,1,799900,301999
10,103114,1,1,3,799900,208999
5,41000,1,2,2,769900,401999
5,56724,1,2,2,769900,413999
7,102528,1,2,5,769900,319999
10,58307,1,3,8,499900,188999
10,146662,1,1,3,799900,213999
6,33966,1,1,4,799900,439999
8,114401,1,1,1,799900,249999
10,61963,1,3,8,499900,218999
6,76635,1,1,10,799900,479999
4,49787,1,2,6,769900,473999
7,73862,2,5,11,399000,220999
7,50680,2,5,12,399000,223999
7,73862,2,5,11,399000,222999
7,50680,2,5,12,399000,224999
7,50680,2,5,12,399000,225999
7,43000,2,5,12,399000,224999
2,18277,2,6,13,875000,690999
6,67300,3,11,67,644900,271999
11,117000,3,14,52,974900,216999
13,36751,3,7,26,474900,198999
6,70826,3,13,96,584900,377999
5,30000,3,11,43,644900,381999
7,100000,3,8,15,1399900,476999
8,69503,3,11,104,644900,291999
9,99501,3,18,66,764900,244999
5,67488,3,13,43,584900,342999
11,99000,3,11,78,644900,215999
4,39633,3,13,24,584900,387999
7,58504,3,7,38,474900,257999
5,49076,3,11,43,644900,327999
3,21692,3,11,24,644900,425999
7,60742,3,13,74,584900,301999
7,107013,3,18,62,764900,268999
8,93550,3,9,97,794900,267999
7,84479,3,11,102,644900,366999
9,120000,3,11,86,644900,256999
8,68000,3,11,18,644900,329999
7,84520,3,10,82,894900,387999
7,89000,3,21,91,1559900,570999
7,102563,3,8,15,1399900,473999
12,92000,3,18,41,764900,215999
11,122000,3,11,65,644900,170999
7,73057,3,11,25,644900,274999
6,68615,3,15,79,1164900,493999
8,63100,3,8,80,1399900,477999
8,10000,3,18,66,764900,304999
7,100000,3,8,15,1399900,473999
11,130214,3,10,17,894900,234999
7,34499,3,13,61,584900,366999
6,62000,3,11,99,644900,382999
2,43089,3,10,100,894900,785999
8,36000,3,11,70,644900,299999
9,137001,3,18,89,764900,220999
5,50735,3,13,50,584900,396999
7,66092,3,18,82,764900,342999
5,38539,3,11,50,644900,368999
7,94640,3,11,62,644900,272999
1,11602,3,7,34,474900,555999
10,86000,3,10,17,894900,275999
4,62587,3,18,105,764900,458999
10,89900,3,7,30,474900,212999
9,95686,3,11,65,644900,235999
7,81148,3,7,72,474900,286999
7,70218,3,11,74,644900,270999
12,89883,3,11,93,644900,197999
7,94640,3,11,62,644900,271999
7,79003,3,10,31,894900,343999
8,109000,3,7,85,474900,198999
9,52000,3,7,30,474900,222999
5,63000,3,10,22,894900,546999
5,41000,3,11,50,644900,359999
7,85400,3,7,29,474900,236999
7,127437,3,10,82,894900,376999
9,84505,3,18,66,764900,226999
5,77377,3,17,56,1654900,772999
7,70563,3,11,21,644900,296999
11,98882,3,11,78,644900,215999
6,70000,3,14,99,974900,443999
7,68101,3,10,108,894900,423999
8,75054,3,11,70,644900,270999
7,55000,3,7,55,474900,273999
10,116000,3,18,46,764900,222999
7,94000,3,11,74,644900,252999
6,69717,3,13,40,584900,335999
7,39126,3,7,72,474900,303999
6,45236,3,17,56,1654900,838999
7,76000,3,14,27,974900,399999
3,11779,3,13,81,584900,529999
5,28371,3,11,43,644900,383999
5,50443,3,7,47,474900,360999
4,16033,3,18,50,764900,576999
7,83000,3,9,21,794900,274999
2,16456,3,15,100,1164900,943999
4,34208,3,18,50,764900,543999
13,94000,3,7,26,474900,176999
5,49154,3,13,43,584900,334999
5,30000,3,11,43,644900,380999
4,71486,3,13,24,584900,325999
8,42223,3,11,23,644900,306999
13,93673,3,14,58,974900,206999
7,64900,3,18,82,764900,274999
4,50019,3,9,71,794900,493999
4,36440,3,16,33,994900,618999
7,81148,3,7,72,474900,285999
11,116351,3,18,46,764900,216999
6,61126,3,17,35,1654900,819999
12,109189,3,7,14,474900,167999
5,51000,3,11,43,644900,349999
5,61139,3,10,44,894900,546999
5,61139,3,10,44,894900,541999
4,39734,3,10,48,894900,651999
